Key,,Id,Korean(ko),English(en)
NeedRankingPoint,,20702027776,달성 랭킹 포인트,NeedRankingPoint
NeedInterior,,2.43892E+13,필요한 가구,NeedInterior
GoldFormat,,2.6243E+13,골드: {0},Gold: {0}
Health,,8.01436E+13,체력,Health
MoveSpeed,,8.09746E+13,이동속도,MoveSpeed
WorkSpeed,,8.11072E+13,작업속도,WorkSpeed
Buy,,1.52718E+14,구매,Buy
GodProduct,,1.52722E+14,신상품,New Product
PurchaseComplete,,1.52723E+14,구매 완료,Purchase completed
Get,,1.4789E+15,받기,Get
GuestLogin,,2.20674E+15,게스트 로그인,GuestLogin
EmployeeUpgradeComplete,,2.2821E+15,교육 완료됨,UpgradeComplete
EmployeeName101101,,2.28649E+15,라이언,EmployeeName101101
EmployeeName101201,,2.28649E+15,뿌까,EmployeeName101201
EmployeeName101202,,2.28649E+15,도라에몽,EmployeeName101202
EmployeeName101203,,2.28649E+15,마리오,EmployeeName101203
EmployeeName101204,,2.28649E+15,마시마로,EmployeeName101204
EmployeeName101205,,2.28649E+15,뽀로로,EmployeeName101205
EmployeeName101206,,2.28649E+15,잔망루피,EmployeeName101206
EmployeeName101301,,2.28649E+15,페페,EmployeeName101301
EmployeeName101302,,2.28649E+15,이상한페페,EmployeeName101302
EmployeeName101303,,2.28649E+15,가루,EmployeeName101303
EmployeeName101304,,2.28649E+15,푸,EmployeeName101304
EmployeeName101305,,2.28649E+15,핑크빈,EmployeeName101305
EmployeeName101306,,2.28649E+15,크림슨발록,EmployeeName101306
EmployeeName102101,,2.28649E+15,직원102101,EmployeeName102101
EmployeeName102201,,2.28649E+15,직원102201,EmployeeName102201
EmployeeName102202,,2.28649E+15,직원102202,EmployeeName102202
EmployeeName102203,,2.28649E+15,직원102203,EmployeeName102203
EmployeeName102204,,2.28649E+15,직원102204,EmployeeName102204
EmployeeName102205,,2.28649E+15,직원102205,EmployeeName102205
EmployeeName102206,,2.28649E+15,직원102206,EmployeeName102206
EmployeeName102301,,2.28649E+15,직원102301,EmployeeName102301
EmployeeName102302,,2.28649E+15,직원102302,EmployeeName102302
EmployeeName102303,,2.28649E+15,직원102303,EmployeeName102303
EmployeeName102304,,2.28649E+15,직원102304,EmployeeName102304
EmployeeName102305,,2.28649E+15,직원102305,EmployeeName102305
EmployeeName102306,,2.28649E+15,직원102306,EmployeeName102306
EmployeeName103101,,2.28649E+15,직원103101,EmployeeName103101
EmployeeName103201,,2.28649E+15,직원103201,EmployeeName103201
EmployeeName103202,,2.28649E+15,직원103202,EmployeeName103202
EmployeeName103203,,2.28649E+15,직원103203,EmployeeName103203
EmployeeName103204,,2.28649E+15,직원103204,EmployeeName103204
EmployeeName103205,,2.28649E+15,직원103205,EmployeeName103205
EmployeeName103206,,2.28649E+15,직원103206,EmployeeName103206
EmployeeName103301,,2.28649E+15,직원103301,EmployeeName103301
EmployeeName103302,,2.28649E+15,직원103302,EmployeeName103302
EmployeeName103303,,2.28649E+15,직원103303,EmployeeName103303
EmployeeName103304,,2.28649E+15,직원103304,EmployeeName103304
EmployeeName103305,,2.28649E+15,직원103305,EmployeeName103305
EmployeeName103306,,2.28649E+15,직원103306,EmployeeName103306
FoodName700001,,2.61736E+15,에스프레소,FoodName700001
FoodName700002,,2.61736E+15,아메리카노,FoodName700002
FoodName700003,,2.61736E+15,도피오,FoodName700003
FoodName700004,,2.61736E+15,밀크티,FoodName700004
FoodName700005,,2.61736E+15,핫초코,FoodName700005
FoodName700006,,2.61736E+15,레몬에이드,FoodName700006
FoodName700007,,2.61736E+15,자몽에이드,FoodName700007
FoodName700008,,2.61736E+15,카페라떼 ,FoodName700008
FoodName700009,,2.61736E+15,카푸치노,FoodName700009
FoodName700010,,2.61736E+15,초코 프라페,FoodName700010
FoodName700011,,2.61736E+15,녹차 프라페,FoodName700011
FoodName700012,,2.61736E+15, 블루베리 버블티,FoodName700012
FoodName700013,,2.61736E+15,오렌지 주스,FoodName700013
FoodName700014,,2.61736E+15,블루베리 머핀,FoodName700014
FoodName700015,,2.61736E+15,초코 칩 머핀,FoodName700015
FoodName700016,,2.61736E+15,딸기 녹차 프라페,FoodName700016
FoodName700017,,2.61736E+15,망고 스무디,FoodName700017
FoodName700018,,2.61736E+15,플랫 화이트,FoodName700018
FoodName700019,,2.61736E+15,카페모카,FoodName700019
FoodName700020,,2.61736E+15,카라멜 마키아토,FoodName700020
FoodName700021,,2.61736E+15,민트티,FoodName700021
FoodName700022,,2.61736E+15,계피차,FoodName700022
FoodName700023,,2.61736E+15,사과 민트 에이드,FoodName700023
FoodName700024,,2.61736E+15,유자 에이드,FoodName700024
FoodName700025,,2.61736E+15,딸기 바나나 스무디,FoodName700025
FoodName700026,,2.61736E+15,요거트 스무디 ,FoodName700026
FoodName700027,,2.61736E+15,블루베리 스무디,FoodName700027
FoodName700028,,2.61736E+15,바나나 머핀,FoodName700028
FoodName700029,,2.61736E+15,크랜베리 머핀,FoodName700029
FoodName700030,,2.61736E+15,호두 시나몬 머핀,FoodName700030
FoodName700031,,2.61736E+15,참치 뱃살 초밥 (1P),FoodName700031
FoodName700032,,2.61736E+15,연어 초밥 (1P),FoodName700032
FoodName700033,,2.61736E+15,덴푸라 ,FoodName700033
FoodName700034,,2.61736E+15,가라아게,FoodName700034
FoodName700035,,2.61736E+15,야끼토리1,FoodName700035
FoodName700036,,2.61736E+15,오코노미 야키,FoodName700036
FoodName700037,,2.61736E+15,야끼소바,FoodName700037
FoodName700038,,2.61736E+15,간장 라멘,FoodName700038
FoodName700039,,2.61736E+15,삿포로 라멘,FoodName700039
FoodName700040,,2.61736E+15,하코다테 라멘,FoodName700040
FoodName700041,,2.61736E+15,새우 초밥 (1P),FoodName700041
